geo_description,label,year,description,estimate,moe,se,cv
Guilford ,HD01_VD06,2007,"Estimate; Male: - Some college, no degree",17369,2247.15,1146.51,6.6
United States,HD01_VD07,2007,Estimate; Male: - Associate's degree,4750616,41492.43,21169.61,0.45
North Carolina,HD01_VD07,2007,Estimate; Male: - Associate's degree,150606,7281.19,3714.89,2.47
Durham ,HD01_VD07,2007,Estimate; Male: - Associate's degree,2477,1085.45,553.8,22.36
Forsyth ,HD01_VD07,2007,Estimate; Male: - Associate's degree,5572,1307.06,666.87,11.97
Guilford ,HD01_VD07,2007,Estimate; Male: - Associate's degree,5766,1425.02,727.05,12.61
United States,HD01_VD08,2007,Estimate; Male: - Bachelor's degree,13164138,59381.45,30296.66,0.23
North Carolina,HD01_VD08,2007,Estimate; Male: - Bachelor's degree,390423,10976,5600,1.43
Durham ,HD01_VD08,2007,Estimate; Male: - Bachelor's degree,10023,1537.02,784.19,7.82
Forsyth ,HD01_VD08,2007,Estimate; Male: - Bachelor's degree,15283,1706.21,870.52,5.7
Guilford ,HD01_VD08,2007,Estimate; Male: - Bachelor's degree,24712,2952.51,1506.38,6.1
United States,HD01_VD09,2007,Estimate; Male: - Graduate degree,8072447,40874.04,20854.1,0.26
North Carolina,HD01_VD09,2007,Estimate; Male: - Graduate degree,202486,6768.85,3453.49,1.71
Durham ,HD01_VD09,2007,Estimate; Male: - Graduate degree,9508,1290.38,658.36,6.92
Forsyth ,HD01_VD09,2007,Estimate; Male: - Graduate degree,8855,1289.19,657.75,7.43
Guilford ,HD01_VD09,2007,Estimate; Male: - Graduate degree,12406,1684.77,859.58,6.93
United States,HD01_VD10,2007,Estimate; Female:,71832463,14496.85,7396.35,0.01
North Carolina,HD01_VD10,2007,Estimate; Female:,2235762,3052.6,1557.45,0.07
Durham ,HD01_VD10,2007,Estimate; Female:,43975,341.96,174.47,0.4
Forsyth ,HD01_VD10,2007,Estimate; Female:,79288,341.96,174.47,0.22
Guilford ,HD01_VD10,2007,Estimate; Female:,102204,341.96,174.47,0.17
United States,HD01_VD11,2007,Estimate; Female: - Less than 9th grade,2283498,32444.26,16553.19,0.72
North Carolina,HD01_VD11,2007,Estimate; Female: - Less than 9th grade,83776,5336.68,2722.8,3.25
Durham ,HD01_VD11,2007,Estimate; Female: - Less than 9th grade,1115,692.26,353.19,31.68
Forsyth ,HD01_VD11,2007,Estimate; Female: - Less than 9th grade,2254,863.83,440.73,19.55
Guilford ,HD01_VD11,2007,Estimate; Female: - Less than 9th grade,2012,673.19,343.46,17.07
United States,HD01_VD12,2007,"Estimate; Female: - 9th to 12th grade, no diploma",5122818,41702.13,21276.6,0.42
North Carolina,HD01_VD12,2007,"Estimate; Female: - 9th to 12th grade, no diploma",198301,8075.91,4120.36,2.08
Durham ,HD01_VD12,2007,"Estimate; Female: - 9th to 12th grade, no diploma",1716,688.68,351.37,20.48
Forsyth ,HD01_VD12,2007,"Estimate; Female: - 9th to 12th grade, no diploma",5056,1186.72,605.47,11.98
Guilford ,HD01_VD12,2007,"Estimate; Female: - 9th to 12th grade, no diploma",7172,1395.23,711.85,9.93
United States,HD01_VD13,2007,Estimate; Female: - High school graduate (includes equivalency),22368562,78503.66,40052.89,0.18
North Carolina,HD01_VD13,2007,Estimate; Female: - High school graduate (includes equivalency),635985,14430.13,7362.31,1.16
Durham ,HD01_VD13,2007,Estimate; Female: - High school graduate (includes equivalency),7417,1482.21,756.23,10.2
Forsyth ,HD01_VD13,2007,Estimate; Female: - High school graduate (includes equivalency),21098,1996.94,1018.85,4.83
