geo_description,label,year,description,estimate,moe,se,cv
Guilford ,HD01_VD23,2006,Estimate; Female: - 7th and 8th grade,3827,968.68,494.22,12.91
United States,HD01_VD24,2006,Estimate; Female: - 9th grade,2078444,25956.6,13243.16,0.64
North Carolina,HD01_VD24,2006,Estimate; Female: - 9th grade,81898,5474.89,2793.31,3.41
Durham ,HD01_VD24,2006,Estimate; Female: - 9th grade,1327,812.6,414.59,31.24
Forsyth ,HD01_VD24,2006,Estimate; Female: - 9th grade,3342,1114.04,568.39,17.01
Guilford ,HD01_VD24,2006,Estimate; Female: - 9th grade,3390,1021.11,520.97,15.37
United States,HD01_VD25,2006,Estimate; Female: - 10th grade,2582317,30311.49,15465.05,0.6
North Carolina,HD01_VD25,2006,Estimate; Female: - 10th grade,103148,6089.7,3106.99,3.01
Durham ,HD01_VD25,2006,Estimate; Female: - 10th grade,1820,633.87,323.4,17.77
Forsyth ,HD01_VD25,2006,Estimate; Female: - 10th grade,1913,720.85,367.78,19.23
Guilford ,HD01_VD25,2006,Estimate; Female: - 10th grade,4434,1246.3,635.87,14.34
United States,HD01_VD26,2006,Estimate; Female: - 11th grade,2613344,36041.36,18388.45,0.7
North Carolina,HD01_VD26,2006,Estimate; Female: - 11th grade,94533,6420.94,3275.99,3.47
Durham ,HD01_VD26,2006,Estimate; Female: - 11th grade,1779,884.09,451.07,25.36
Forsyth ,HD01_VD26,2006,Estimate; Female: - 11th grade,3064,909.11,463.83,15.14
Guilford ,HD01_VD26,2006,Estimate; Female: - 11th grade,4061,1074.72,548.33,13.5
United States,HD01_VD27,2006,"Estimate; Female: - 12th grade, no diploma",1976788,24827.06,12666.87,0.64
North Carolina,HD01_VD27,2006,"Estimate; Female: - 12th grade, no diploma",48697,4389.45,2239.52,4.6
Durham ,HD01_VD27,2006,"Estimate; Female: - 12th grade, no diploma",797,531.4,271.12,34.02
Forsyth ,HD01_VD27,2006,"Estimate; Female: - 12th grade, no diploma",1655,687.49,350.76,21.19
Guilford ,HD01_VD27,2006,"Estimate; Female: - 12th grade, no diploma",2495,862.64,440.12,17.64
United States,HD01_VD28,2006,Estimate; Female: - High school graduate (includes equivalency),30810108,94908.09,48422.49,0.16
North Carolina,HD01_VD28,2006,Estimate; Female: - High school graduate (includes equivalency),898081,14040.51,7163.53,0.8
Durham ,HD01_VD28,2006,Estimate; Female: - High school graduate (includes equivalency),16105,2559.32,1305.78,8.11
Forsyth ,HD01_VD28,2006,Estimate; Female: - High school graduate (includes equivalency),31918,3020.43,1541.04,4.83
Guilford ,HD01_VD28,2006,Estimate; Female: - High school graduate (includes equivalency),42348,2954.89,1507.6,3.56
United States,HD01_VD29,2006,"Estimate; Female: - Some college, less than 1 year",6624864,46404.94,23675.99,0.36
North Carolina,HD01_VD29,2006,"Estimate; Female: - Some college, less than 1 year",202086,7327.66,3738.6,1.85
Durham ,HD01_VD29,2006,"Estimate; Female: - Some college, less than 1 year",4048,1040.17,530.7,13.11
