geo_description,label,year,description,estimate,moe,se,cv
North Carolina,HD01_VD46,2006,Estimate; Female: - 70 to 74 years,144180,4484.77,2288.15,1.59
Durham ,HD01_VD46,2006,Estimate; Female: - 70 to 74 years,2156,672,342.86,15.9
Forsyth ,HD01_VD46,2006,Estimate; Female: - 70 to 74 years,5737,875.74,446.81,7.79
Guilford ,HD01_VD46,2006,Estimate; Female: - 70 to 74 years,7533,991.32,505.78,6.71
United States,HD01_VD47,2006,Estimate; Female: - 75 to 79 years,4323137,29351.15,14975.08,0.35
North Carolina,HD01_VD47,2006,Estimate; Female: - 75 to 79 years,130150,4621.79,2358.06,1.81
Durham ,HD01_VD47,2006,Estimate; Female: - 75 to 79 years,2422,550.47,280.85,11.6
Forsyth ,HD01_VD47,2006,Estimate; Female: - 75 to 79 years,5059,847.15,432.22,8.54
Guilford ,HD01_VD47,2006,Estimate; Female: - 75 to 79 years,7710,1065.19,543.46,7.05
United States,HD01_VD48,2006,Estimate; Female: - 80 to 84 years,3544895,26323.57,13430.39,0.38
North Carolina,HD01_VD48,2006,Estimate; Female: - 80 to 84 years,97768,4294.13,2190.88,2.24
Durham ,HD01_VD48,2006,Estimate; Female: - 80 to 84 years,3056,710.13,362.31,11.86
Forsyth ,HD01_VD48,2006,Estimate; Female: - 80 to 84 years,3576,870.98,444.38,12.43
Guilford ,HD01_VD48,2006,Estimate; Female: - 80 to 84 years,5064,1090.21,556.23,10.98
United States,HD01_VD49,2006,Estimate; Female: - 85 years and over,3456816,23525.96,12003.04,0.35
North Carolina,HD01_VD49,2006,Estimate; Female: - 85 years and over,89017,4668.26,2381.77,2.68
Durham ,HD01_VD49,2006,Estimate; Female: - 85 years and over,2013,712.51,363.53,18.06
Forsyth ,HD01_VD49,2006,Estimate; Female: - 85 years and over,4036,956.77,488.15,12.09
Guilford ,HD01_VD49,2006,Estimate; Female: - 85 years and over,3712,921.02,469.91,12.66
United States,HD01_VD01,2007,Estimate; Total:,301621159,NA,NA,NA
North Carolina,HD01_VD01,2007,Estimate; Total:,9061032,NA,NA,NA
Durham ,HD01_VD01,2007,Estimate; Total:,256500,NA,NA,NA
Forsyth ,HD01_VD01,2007,Estimate; Total:,338774,NA,NA,NA
Guilford ,HD01_VD01,2007,Estimate; Total:,465931,NA,NA,NA
