NAME,"Durham County, North Carolina","Forsyth County, North Carolina","Guilford County, North Carolina",North Carolina,United States
Assoc_p2599AB13,27255,16697,30590,352190,6699832
Assoc_p2599AB13_SE,1774.415,1206.821,1747.306,5623.657,26497.152
Pct_Assoc_p2599AB13,0.3964594,0.2898332,0.2965929,0.2643775,0.2721838
Pct_Assoc_p2599AB13_SE,0.025982214,0.021089813,0.017216373,0.004291461,0.001101789
Pop2599AH13,20434,20544,18794,425173,29673441
Pop2599AH13_SE,0,466.2614,0,2756.8389,17149.5441
Assoc_p2599AH13,4257,2313,3908,71846,5877966
Assoc_p2599AH13_SE,767.4268,524.7856,561.538,2869.1797,26700.6363
Pct_Assoc_p2599AH13,0.2083293,0.1125876,0.2079387,0.1689806,0.1980885
Pct_Assoc_p2599AH13_SE,0.037556368,0.025671955,0.029878576,0.006836635,0.00090707
Pop2534AA13,53032,45723,67738,1269513,42626555
Pop2534AA13_SE,433.3592,571.7964,329.7888,5034.3158,19214.1406
Pop3544AA13,41242,46653,67245,1320217,40608235
Pop3544AA13_SE,632.0768,518.1175,306.6265,4471.6474,15183.3011
Pop4564AA13,68472,95791,131340,2573662,83011835
Pop4564AA13_SE,770.9185,673.1446,603.6159,4231.1613,22184.4015
Pop6599AA13,30580,50487,67145,1404718,44663990
Pop6599AA13_SE,351.1184,392.6478,420.6744,1782.8606,10104.0463
Assoc_p2534AA13,32573,19097,29170,509601,17736987
Assoc_p2534AA13_SE,1683.49,1115.123,1594.236,6583.26,42748.713
Assoc_p3544AA13,20983,20864,31464,557174,17132055
Assoc_p3544AA13_SE,1439.289,1213.796,1507.635,6867.29,37662.317
Assoc_p4564AA13,34949,41745,58404,981185,31552136
Assoc_p4564AA13_SE,1641.581,1642.819,2097.185,8266.966,49598.369
Assoc_p6599AA13,13092,15503,21572,391754,13051577
Assoc_p6599AA13_SE,927.8137,967.4724,1144.2577,4841.3696,28881.2772
Pct_Assoc_p2534AA13,0.6142141,0.4176673,0.4306298,0.4014146,0.4161018
Pct_Assoc_p2534AA13_SE,0.032139129,0.024941703,0.023628527,0.005424478,0.001020254
Pct_Assoc_p3544AA13,0.5087775,0.4472167,0.467901,0.4220321,0.4218862
Pct_Assoc_p3544AA13_SE,0.03575914,0.026487361,0.022521315,0.005394474,0.000940774
Pct_Assoc_p4564AA13,0.510413,0.4357925,0.4446779,0.3812408,0.380092
Pct_Assoc_p4564AA13_SE,0.024653613,0.017421307,0.016097856,0.003272719,0.000606059
Pct_Assoc_p6599AA13,0.428123,0.3070691,0.3212749,0.2788844,0.292217
Pct_Assoc_p6599AA13_SE,0.030736175,0.019311038,0.017160052,0.003464635,0.000650005
Pop2599AA12,184952,236207,328075,6489883,208731498
Pop2599AA12_SE,365.3495,207.9027,151.9757,3784.8024,38457.1429
Pop2599MA12,85014,109824,152584,3084024,100629702
Pop2599MA12_SE,317.3252,179.9392,168.997,3251.6717,21556.231
Pop2599FA12,99938,126383,175491,3405859,108101796
Pop2599FA12_SE,308.2067,237.69,147.1125,2413.3739,20213.3739
Assoc_p2599MA12,40377,41072,58979,1046372,36419334
Assoc_p2599MA12_SE,1543.462,1649.169,1959.848,9118.854,56092.699
Assoc_p2599FA12,55925,51730,69968,1291535,40934298
Assoc_p2599FA12_SE,2137.417,1690.536,2055.98,10005.558,58210.478
Assoc_p2599AA12,96302,92802,128947,2337907,77353632
Assoc_p2599AA12_SE,2636.442,2361.709,2840.433,13537.529,80838.423
Pct_Assoc_p2599AA12,0.5206864,0.3928842,0.3930412,0.3602387,0.3705892
Pct_Assoc_p2599AA12_SE,0.014291797,0.01000445,0.00865979,0.002096496,0.000393257
Pct_Assoc_p2599MA12,0.4749453,0.3739802,0.3865346,0.3392879,0.3619144
