year,geo_description,subtype,quintile,perc,type,se
2011,"Forsyth County, NC",150,3,0.2140089320898463,agep,0.02116211175764158
2011,"Forsyth County, NC",150,4,0.16655720478129515,agep,0.017643028504006654
2011,"Forsyth County, NC",150,5,0.1445553658216209,agep,0.02013175988709655
2012,"Forsyth County, NC",24,1,0.49390767118585893,agep,0.08007021803189031
2012,"Forsyth County, NC",24,2,0.21057147760425604,agep,0.06659526413743488
2012,"Forsyth County, NC",24,3,0.2028488072764716,agep,0.06947720529287878
2012,"Forsyth County, NC",24,4,0.09267204393341343,agep,0.0535025202726752
2012,"Forsyth County, NC",44,1,0.23374849337083167,agep,0.023439256256646637
2012,"Forsyth County, NC",44,2,0.20672961028525513,agep,0.022931811784908784
2012,"Forsyth County, NC",44,3,0.19124146243471274,agep,0.018777255513537674
2012,"Forsyth County, NC",44,4,0.1726396143029329,agep,0.018937468345955107
2012,"Forsyth County, NC",44,5,0.19564081960626759,agep,0.019022739973632033
2012,"Forsyth County, NC",64,1,0.17796810933940774,agep,0.01975214347829779
2012,"Forsyth County, NC",64,2,0.1753257403189066,agep,0.0177022677066385
2012,"Forsyth County, NC",64,3,0.1835626423690205,agep,0.020435122966368277
2012,"Forsyth County, NC",64,4,0.18664236902050113,agep,0.02065589265707432
2012,"Forsyth County, NC",64,5,0.276501138952164,agep,0.0180171612904139
2012,"Forsyth County, NC",150,1,0.2571659395702052,agep,0.022328176887801362
2012,"Forsyth County, NC",150,2,0.24268864113750202,agep,0.024963001087764843
2012,"Forsyth County, NC",150,3,0.18988528033608015,agep,0.02194478169340306
2012,"Forsyth County, NC",150,4,0.15033123283244465,agep,0.022495332495576333
2012,"Forsyth County, NC",150,5,0.15992890612376798,agep,0.015819979637261127
2013,"Forsyth County, NC",24,1,0.43300723096554655,agep,0.07284855757000339
2013,"Forsyth County, NC",24,2,0.3676449737700269,agep,0.06620026633292361
2013,"Forsyth County, NC",24,3,0.1036438395009216,agep,0.038089959476242226
2013,"Forsyth County, NC",24,4,0.05217637884588119,agep,0.029172965909538086
2013,"Forsyth County, NC",24,5,0.043527576917623705,agep,0.04503146397540553
2013,"Forsyth County, NC",44,1,0.1641929694922411,agep,0.023855018901438953
2013,"Forsyth County, NC",44,2,0.2424575108202259,agep,0.024255247495408465
2013,"Forsyth County, NC",44,3,0.16833104613110947,agep,0.020473168342997825
2013,"Forsyth County, NC",44,4,0.2464477990077061,agep,0.024968860506113157
2013,"Forsyth County, NC",44,5,0.17857067454871742,agep,0.016675227101807053
2013,"Forsyth County, NC",64,1,0.19316693220038944,agep,0.018432604901384573
2013,"Forsyth County, NC",64,2,0.1544698176668437,agep,0.017417339092035362
2013,"Forsyth County, NC",64,3,0.17426093113825455,agep,0.021632189854858593
2013,"Forsyth County, NC",64,4,0.19215790405381483,agep,0.02292112408357628
2013,"Forsyth County, NC",64,5,0.28594441494069744,agep,0.02004756916997219
2013,"Forsyth County, NC",150,1,0.26993329592918147,agep,0.02354654258071485
2013,"Forsyth County, NC",150,2,0.23642540988716415,agep,0.023015712908384892
2013,"Forsyth County, NC",150,3,0.20057976435384328,agep,0.025275982004905755
2013,"Forsyth County, NC",150,4,0.16863038463936164,agep,0.01725247527954307
2013,"Forsyth County, NC",150,5,0.12443114519044947,agep,0.015371707116835385
2014,"Forsyth County, NC",24,1,0.5361010830324909,agep,0.08735258598508235
2014,"Forsyth County, NC",24,2,0.16756919374247894,agep,0.06536051010501358
2014,"Forsyth County, NC",24,3,0.19554753309265946,agep,0.05207661504593834
