year,bracket,bucket,status,value,single_max,married_max,hoh_max,single_min,married_min,hoh_min,single_fulltax,married_fulltax,hoh_fulltax,single_fulltax_cum,married_fulltax_cum,hoh_fulltax_cum
2016,0.28,4,hoh_min,130150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.33,5,hoh_min,210800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.35,6,hoh_min,413350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,0.4,7,hoh_min,441000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.15,2,hoh_min,13150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.25,3,hoh_min,50200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.28,4,hoh_min,129600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.33,5,hoh_min,209850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.35,6,hoh_min,411500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,0.4,7,hoh_min,439200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.15,2,hoh_min,12950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.25,3,hoh_min,49400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.28,4,hoh_min,127550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.33,5,hoh_min,206600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.35,6,hoh_min,405100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,0.4,7,hoh_min,432200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.1,1,hoh_min,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.15,2,hoh_min,12750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.25,3,hoh_min,48600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.28,4,hoh_min,125450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,0.33,5,hoh_min,203150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
