measure,year,county,group,total,rate,passed,not_passed
8th Grade Math Score,2014-15,Durham,eds,1551,22.7,352,1199
8th Grade Math Score,2014-15,Durham,female,1191,39.3,468,723
8th Grade Math Score,2014-15,Durham,hispanic,615,27.8,171,444
8th Grade Math Score,2014-15,Durham,male,1234,32.9,406,828
8th Grade Math Score,2014-15,Durham,not_eds,874,59.7,522,352
8th Grade Math Score,2014-15,Durham,white,395,71.4,282,113
8th Grade Math Score,2014-15,Forsyth,ALL,4119,38.7,1594,2525
8th Grade Math Score,2014-15,Forsyth,black,1206,18,217,989
8th Grade Math Score,2014-15,Forsyth,eds,2269,20.7,470,1799
8th Grade Math Score,2014-15,Forsyth,female,1989,39.6,788,1201
8th Grade Math Score,2014-15,Forsyth,hispanic,899,25.6,230,669
8th Grade Math Score,2014-15,Forsyth,male,2130,37.8,805,1325
8th Grade Math Score,2014-15,Forsyth,not_eds,1850,60.7,1123,727
8th Grade Math Score,2014-15,Forsyth,white,1741,58,1010,731
8th Grade Math Score,2014-15,Guilford,ALL,5537,41.5,2298,3239
8th Grade Math Score,2014-15,Guilford,black,2241,24.7,554,1687
8th Grade Math Score,2014-15,Guilford,eds,2745,24.9,684,2061
8th Grade Math Score,2014-15,Guilford,female,2706,41.2,1115,1591
8th Grade Math Score,2014-15,Guilford,hispanic,679,29.2,198,481
8th Grade Math Score,2014-15,Guilford,male,2831,41.8,1183,1648
8th Grade Math Score,2014-15,Guilford,not_eds,2792,57.8,1614,1178
8th Grade Math Score,2014-15,Guilford,white,2018,61.9,1249,769
8th Grade Math Score,2015-16,Durham,ALL,2422,31.7,768,1654
8th Grade Math Score,2015-16,Durham,black,1266,22.3,282,984
8th Grade Math Score,2015-16,Durham,eds,1514,19.4,294,1220
8th Grade Math Score,2015-16,Durham,female,1221,35.1,429,792
8th Grade Math Score,2015-16,Durham,hispanic,617,25.3,156,461
8th Grade Math Score,2015-16,Durham,male,1201,28.3,340,861
8th Grade Math Score,2015-16,Durham,not_eds,908,52.2,474,434
