measure,year,county,group,total,rate,passed,not_passed
8th Grade Math Score,2016,Forsyth,"White, non-Hispanic",1634,57.8,944,690
8th Grade Math Score,2016,Guilford,ALL,5361,42.2,2262,3099
8th Grade Math Score,2016,Guilford,African American,2178,24.7,538,1640
8th Grade Math Score,2016,Guilford,eds,2556,25.6,654,1902
8th Grade Math Score,2016,Guilford,female,2627,44.8,1177,1450
8th Grade Math Score,2016,Guilford,Hispanic/Latino,711,33.6,239,472
8th Grade Math Score,2016,Guilford,male,2734,39.8,1088,1646
8th Grade Math Score,2016,Guilford,not_eds,2805,57.3,1607,1198
8th Grade Math Score,2016,Guilford,"White, non-Hispanic",1879,63.6,1195,684
8th Grade Math Score,2017,Durham,ALL,2305,33.3,768,1537
8th Grade Math Score,2017,Durham,African American,1114,22.1,246,868
8th Grade Math Score,2017,Durham,eds,1420,17.7,251,1169
8th Grade Math Score,2017,Durham,female,1202,34.9,419,783
8th Grade Math Score,2017,Durham,Hispanic/Latino,626,22.8,143,483
8th Grade Math Score,2017,Durham,male,1103,31.6,349,754
8th Grade Math Score,2017,Durham,not_eds,885,58.3,516,369
8th Grade Math Score,2017,Durham,"White, non-Hispanic",417,70.5,294,123
8th Grade Math Score,2017,Forsyth,ALL,4172,40,1669,2503
8th Grade Math Score,2017,Forsyth,African American,1196,19.3,231,965
8th Grade Math Score,2017,Forsyth,eds,2030,21.2,430,1600
8th Grade Math Score,2017,Forsyth,female,2067,41.3,854,1213
8th Grade Math Score,2017,Forsyth,Hispanic/Latino,1085,24.7,268,817
8th Grade Math Score,2017,Forsyth,male,2105,38.7,815,1290
8th Grade Math Score,2017,Forsyth,not_eds,2142,57.7,1236,906
8th Grade Math Score,2017,Forsyth,"White, non-Hispanic",1601,63.7,1020,581
8th Grade Math Score,2017,Guilford,ALL,5429,41.7,2264,3165
8th Grade Math Score,2017,Guilford,African American,2172,24.7,536,1636
8th Grade Math Score,2017,Guilford,eds,2589,23.9,619,1970
8th Grade Math Score,2017,Guilford,female,2618,43.5,1139,1479
8th Grade Math Score,2017,Guilford,Hispanic/Latino,764,33,252,512
8th Grade Math Score,2017,Guilford,male,2811,40,1124,1687
8th Grade Math Score,2017,Guilford,not_eds,2840,57.9,1644,1196
8th Grade Math Score,2017,Guilford,"White, non-Hispanic",1878,62.5,1174,704
8th Grade Math Score,2018,Durham,ALL,2102,36.3,763,1339
8th Grade Math Score,2018,Durham,African American,981,26.4,259,722
8th Grade Math Score,2018,Durham,eds,1289,21.8,281,1008
8th Grade Math Score,2018,Durham,female,1023,38.3,392,631
8th Grade Math Score,2018,Durham,Hispanic/Latino,634,26.7,169,465
8th Grade Math Score,2018,Durham,male,1079,34.3,370,709
8th Grade Math Score,2018,Durham,not_eds,813,59.2,481,332
8th Grade Math Score,2018,Durham,"White, non-Hispanic",349,75.4,263,86
8th Grade Math Score,2018,Forsyth,ALL,3803,41.7,1586,2217
8th Grade Math Score,2018,Forsyth,African American,1041,22.4,233,808
8th Grade Math Score,2018,Forsyth,eds,1727,22.6,390,1337
8th Grade Math Score,2018,Forsyth,female,1844,42.8,789,1055
8th Grade Math Score,2018,Forsyth,Hispanic/Latino,1028,26.9,277,751
8th Grade Math Score,2018,Forsyth,male,1959,40.7,797,1162
8th Grade Math Score,2018,Forsyth,not_eds,2076,57.6,1196,880
8th Grade Math Score,2018,Forsyth,"White, non-Hispanic",1450,64.3,932,518
8th Grade Math Score,2018,Guilford,ALL,5038,44.6,2247,2791
8th Grade Math Score,2018,Guilford,African American,1980,26,515,1465
8th Grade Math Score,2018,Guilford,eds,2285,27.2,622,1663
8th Grade Math Score,2018,Guilford,female,2458,47.2,1160,1298
8th Grade Math Score,2018,Guilford,Hispanic/Latino,781,36.4,284,497
8th Grade Math Score,2018,Guilford,male,2580,42.1,1086,1494
8th Grade Math Score,2018,Guilford,not_eds,2753,59,1624,1129
8th Grade Math Score,2018,Guilford,"White, non-Hispanic",1697,66.4,1127,570
