,V1,V2,V3,V4,V5
Pct_Assoc_p2599AH13,0.1980885,0.1689806,0.2083293,0.1125876,0.2079387
Pct_Assoc_p2599AH13_SE,0.00090707,0.006836635,0.037556368,0.025671955,0.029878576
Pop2534AA13,42626555,1269513,53032,45723,67738
Pop2534AA13_SE,19214.1406,5034.3158,433.3592,571.7964,329.7888
Pop3544AA13,40608235,1320217,41242,46653,67245
Pop3544AA13_SE,15183.3011,4471.6474,632.0768,518.1175,306.6265
Pop4564AA13,83011835,2573662,68472,95791,131340
Pop4564AA13_SE,22184.4015,4231.1613,770.9185,673.1446,603.6159
Pop6599AA13,44663990,1404718,30580,50487,67145
Pop6599AA13_SE,10104.0463,1782.8606,351.1184,392.6478,420.6744
Assoc_p2534AA13,17736987,509601,32573,19097,29170
Assoc_p2534AA13_SE,42748.713,6583.26,1683.49,1115.123,1594.236
Assoc_p3544AA13,17132055,557174,20983,20864,31464
Assoc_p3544AA13_SE,37662.317,6867.29,1439.289,1213.796,1507.635
Assoc_p4564AA13,31552136,981185,34949,41745,58404
Assoc_p4564AA13_SE,49598.369,8266.966,1641.581,1642.819,2097.185
Assoc_p6599AA13,13051577,391754,13092,15503,21572
Assoc_p6599AA13_SE,28881.2772,4841.3696,927.8137,967.4724,1144.2577
Pct_Assoc_p2534AA13,0.4161018,0.4014146,0.6142141,0.4176673,0.4306298
Pct_Assoc_p2534AA13_SE,0.001020254,0.005424478,0.032139129,0.024941703,0.023628527
Pct_Assoc_p3544AA13,0.4218862,0.4220321,0.5087775,0.4472167,0.467901
Pct_Assoc_p3544AA13_SE,0.000940774,0.005394474,0.03575914,0.026487361,0.022521315
Pct_Assoc_p4564AA13,0.380092,0.3812408,0.510413,0.4357925,0.4446779
Pct_Assoc_p4564AA13_SE,0.000606059,0.003272719,0.024653613,0.017421307,0.016097856
Pct_Assoc_p6599AA13,0.292217,0.2788844,0.428123,0.3070691,0.3212749
Pct_Assoc_p6599AA13_SE,0.000650005,0.003464635,0.030736175,0.019311038,0.017160052
Pop2599AA12,208731498,6489883,184952,236207,328075
Pop2599AA12_SE,38457.1429,3784.8024,365.3495,207.9027,151.9757
Pop2599MA12,100629702,3084024,85014,109824,152584
Pop2599MA12_SE,21556.231,3251.6717,317.3252,179.9392,168.997
Pop2599FA12,108101796,3405859,99938,126383,175491
Pop2599FA12_SE,20213.3739,2413.3739,308.2067,237.69,147.1125
Assoc_p2599MA12,36419334,1046372,40377,41072,58979
Assoc_p2599MA12_SE,56092.699,9118.854,1543.462,1649.169,1959.848
Assoc_p2599FA12,40934298,1291535,55925,51730,69968
Assoc_p2599FA12_SE,58210.478,10005.558,2137.417,1690.536,2055.98
Assoc_p2599AA12,77353632,2337907,96302,92802,128947
Assoc_p2599AA12_SE,80838.423,13537.529,2636.442,2361.709,2840.433
Pct_Assoc_p2599AA12,0.3705892,0.3602387,0.5206864,0.3928842,0.3930412
Pct_Assoc_p2599AA12_SE,0.000393257,0.002096496,0.014291797,0.01000445,0.00865979
Pct_Assoc_p2599MA12,0.3619144,0.3392879,0.4749453,0.3739802,0.3865346
Pct_Assoc_p2599MA12_SE,0.000562782,0.002978366,0.018241737,0.015028964,0.012851522
Pct_Assoc_p2599FA12,0.3786644,0.3792098,0.559597,0.4093114,0.3986985
Pct_Assoc_p2599FA12_SE,0.000543113,0.002950012,0.021456947,0.013398427,0.011720351
Pop2599AW12,140902167,4484315,89041,152133,193079
Pop2599AW12_SE,8738.60182,1682.06687,62.61398,44.3769,627.35562
Assoc_p2599AW12,57771121,1819723,60803,70970,89185
Assoc_p2599AW12_SE,66865.599,11448.859,1681.314,1983.272,2339.108
Pct_Assoc_p2599AW12,0.4100087,0.4057973,0.6828652,0.4664997,0.4619094
Pct_Assoc_p2599AW12_SE,0.000475234,0.002557623,0.018888577,0.013037144,0.012207385
Pop2599AB12,24280587,1315560,64697,56718,99471
Pop2599AB12_SE,16615.8055,3763.5258,508.8146,279.6353,846.8085
Assoc_p2599AB12,6423551,330373,24040,14552,30657
Assoc_p2599AB12_SE,24402.637,5565.229,1507.954,1034.471,1616.1
Pct_Assoc_p2599AB12,0.264555,0.2511273,0.3715783,0.2565676,0.3082004
Pct_Assoc_p2599AB12_SE,0.001021203,0.004290882,0.023490428,0.01828266,0.016457442
Pop2599AH12,28910780,418817,19636,20632,18417
Pop2599AH12_SE,13841.34,2275.38,0,0,0
Assoc_p2599AH12,5662266,63056,3176,2691,2382
Assoc_p2599AH12_SE,25546.4125,2487.6865,542.3389,493.4137,473.3045
Pct_Assoc_p2599AH12,0.1958531,0.1505574,0.1617437,0.1304285,0.129337
Pct_Assoc_p2599AH12_SE,0.00088859,0.005995849,0.02761962,0.023914973,0.025699327
Pop2534AA12,42100846,1252143,50490,46200,67017
Pop2534AA12_SE,16912.703,3909.4234,336.4295,347.6917,305.3784
Pop3544AA12,40698086,1330471,39846,46925,67586
Pop3544AA12_SE,16776.9054,3659.8991,412.2984,362.7753,335.1926
Pop4564AA12,82792089,2560569,64739,94059,127968
Pop4564AA12_SE,19951.7653,3947.894,540.2009,449.3656,407.8733
Pop6599AA12,43140477,1346700,29877,49023,65504
Pop6599AA12_SE,8746.5872,1727.796,391.8597,290.4179,312.4561
Assoc_p2534AA12,17220947,487881,29453,17808,28260
Assoc_p2534AA12_SE,39815.754,6319.565,1523.273,1203.42,1456.169
Assoc_p3544AA12,16941912,537347,19489,19435,28903
Assoc_p3544AA12_SE,37379.36,6911.268,1243.079,1114.491,1527.377
Assoc_p4564AA12,31081000,951878,34427,40677,50299
Assoc_p4564AA12_SE,47813.08,8818.805,1457.319,1580.613,1717.881
Assoc_p6599AA12,12109773,360801,12933,14882,21485
Assoc_p6599AA12_SE,27086.0875,4606.8581,864.2295,843.002,1044.5839
Pct_Assoc_p2534AA12,0.4090404,0.3896368,0.5833432,0.3854545,0.4216841
Pct_Assoc_p2534AA12_SE,0.000959892,0.005191543,0.03041916,0.026209076,0.021813146
Pct_Assoc_p3544AA12,0.4162828,0.4038773,0.4891081,0.4141716,0.4276477
Pct_Assoc_p3544AA12_SE,0.000934349,0.005312082,0.031604914,0.023965349,0.022698324
Pct_Assoc_p4564AA12,0.3754103,0.3717447,0.5317815,0.4324626,0.3930592
Pct_Assoc_p4564AA12_SE,0.000584551,0.003491446,0.022943864,0.016931018,0.013482629
Pct_Assoc_p6599AA12,0.2807056,0.2679149,0.4328748,0.3035718,0.3279952
Pct_Assoc_p6599AA12_SE,0.000630432,0.003438075,0.029478154,0.017289834,0.016023437
Pop2599AA11,NA,6399357,180509,233078,323125
Pop2599AA11_SE,NA,4843.1611,390.8815,326.4438,105.1672
Pop2599MA11,NA,3034749,83878,107911,150431
Pop2599MA11_SE,NA,4033.4347,395.7447,262.0061,140.4255
Pop2599FA11,NA,3364608,96631,125167,172694
Pop2599FA11_SE,NA,3751.3678,480.2432,204.8632,150.7599
