geography,level,year,palma,se
1300,puma,2011,2.078141139190233,0.20135332508933804
1400,puma,2011,1.735214582426119,0.1717916779633183
1500,puma,2011,2.8590812197660567,0.38542218542730644
1601,puma,2011,2.406869022450152,0.38514285251613317
1602,puma,2011,3.0108513848298784,0.3472653096429005
1700,puma,2011,2.389647683127818,0.2014638722872649
1800,puma,2011,3.54565469305787,0.29708589570029204
1900,puma,2011,1.9520709105152965,0.14013622173282284
2000,puma,2011,1.7556723045595921,0.12213968524816296
2100,puma,2011,2.3829027427278873,0.23954372120774908
2200,puma,2011,2.274493487812437,0.28061417117994863
2300,puma,2011,2.480787253876223,0.25340662354554694
2400,puma,2011,1.9897245444683322,0.15819281414018685
2500,puma,2011,2.101258938858349,0.1884584771833339
2601,puma,2011,3.7825392496169394,0.4512738976774844
2602,puma,2011,1.9845006197375912,0.1611681179449387
2701,puma,2011,1.8506746307872006,0.15934428461640154
2702,puma,2011,1.8417602180628594,0.18085740640945788
2703,puma,2011,1.7569742175213847,0.14437695983598248
2801,puma,2011,2.978220012456073,0.2652709879164854
2802,puma,2011,2.581487856070859,0.23455612114036312
2900,puma,2011,3.505822120757576,0.32720103246977467
3000,puma,2011,1.769020340197793,0.13842418980899832
3100,puma,2011,2.2497142039921743,0.20509332061669158
3200,puma,2011,1.9127369564187142,0.15869157560848238
3300,puma,2011,1.9660796680676875,0.17205876066170722
3400,puma,2011,2.0111943774779375,0.20097630058952645
3500,puma,2011,2.396673001584987,0.2257119086081077
3600,puma,2011,2.410176217532508,0.2602335962420187
3700,puma,2011,2.568194619597641,0.3307982685258092
3800,puma,2011,2.7607697245490943,0.3669869744583193
3900,puma,2011,2.435409334421155,0.22736564559624312
4000,puma,2011,2.7115968296542476,0.24066330619458093
4100,puma,2011,2.546783322731176,0.3389727438259203
4200,puma,2011,1.761327070252137,0.21203763864105915
4300,puma,2011,2.213204920868951,0.24817430948541463
4400,puma,2011,2.5389025858431085,0.23824356524583945
4500,puma,2011,1.929962791920558,0.12722133608082914
4600,puma,2011,2.532599787311489,0.29999618166906095
4700,puma,2011,1.9664361496305665,0.13794306771578374
4800,puma,2011,2.325693497349967,0.20734057877883993
100,puma,2012,3.1660731423630515,0.38828801121256873
200,puma,2012,2.4493681873293016,0.25089533500731176
300,puma,2012,2.0351815944914846,0.18659910279438177
400,puma,2012,1.6951572270398358,0.14797377238047651
500,puma,2012,2.1072170552198344,0.25971689646629814
600,puma,2012,2.9275950194140203,0.30820142223148156
700,puma,2012,1.9791617035742548,0.1555144835646814
800,puma,2012,2.418004705754137,0.2710726046076324
900,puma,2012,2.4152967814503894,0.2796580057085939
1000,puma,2012,1.9917970216954448,0.17147421704795743
1100,puma,2012,1.7458818256739954,0.1545564360327353
1201,puma,2012,3.680968325946223,0.40585049981302573
1203,puma,2012,2.005174658065292,0.2445214636847975
1204,puma,2012,1.2953394262018072,0.11278146985733692
1205,puma,2012,1.5316211735268002,0.14681212223872064
1206,puma,2012,1.6769241438944384,0.12486318604053781
1207,puma,2012,2.2487498202660454,0.24136074398866678
1208,puma,2012,1.4352371954756173,0.11986341764217467
1301,puma,2012,3.055400006931643,0.3155782022217104
1302,puma,2012,2.5180415843964026,0.2444271511526936
1400,puma,2012,3.7011561967348467,0.37650013301679863
1500,puma,2012,2.175888904781191,0.20686846953503454
1600,puma,2012,2.587065521827048,0.3312847523126757
1701,puma,2012,3.200624182584954,0.2966039891486884
1702,puma,2012,2.1932894446939804,0.2127340747241076
1703,puma,2012,2.0493927601907207,0.215110526231849
1704,puma,2012,2.2937122941654873,0.20646736274249552
1801,puma,2012,5.146902721238803,0.5303732957516806
1802,puma,2012,2.308859742502736,0.2603132966389971
1803,puma,2012,1.9415151064027465,0.1708505501017832
1900,puma,2012,2.462317073942303,0.3635961581149599
2000,puma,2012,1.7713280994182725,0.16332154397528192
2100,puma,2012,2.3201279622864,0.23732022972201303
2201,puma,2012,2.775302853066472,0.2639701122231286
2202,puma,2012,2.082062857731677,0.20200803231335773
2300,puma,2012,2.139682902164365,0.17684198862919415
2400,puma,2012,2.6303346779261196,0.30078554805578417
2500,puma,2012,1.5835214587107043,0.15057943371669877
2600,puma,2012,1.943569666745884,0.15526863250694234
2700,puma,2012,2.2541262877795862,0.23978249208163332
2800,puma,2012,2.3772035582475675,0.24594539749269045
2900,puma,2012,2.663285007341448,0.25704350131092196
3001,puma,2012,2.4612752844024732,0.28545313724178073
3002,puma,2012,2.2995046023441494,0.2951759201375998
3101,puma,2012,3.31265059688023,0.36128895640664055
3102,puma,2012,2.1237488644222533,0.27594957212379156
3103,puma,2012,2.0146825381168996,0.22185348476367672
3104,puma,2012,2.4715807161499534,0.20171791964739824
3105,puma,2012,3.260489193002276,0.36963269806435695
3106,puma,2012,1.9330602491979285,0.1632584830831017
3107,puma,2012,1.6062070058940492,0.170531684230206
3108,puma,2012,2.0806795992027336,0.26213028902126667
3200,puma,2012,2.5824947655619175,0.33509467499291073
3300,puma,2012,1.8489972142740612,0.19291262941591422
3400,puma,2012,1.8610742660971202,0.1484156684257084
3500,puma,2012,1.948050017055811,0.16407392045811034
3600,puma,2012,2.1564755546393424,0.22850273704953655
3700,puma,2012,2.7906758477927833,0.295633473854575
3800,puma,2012,2.570493878989265,0.2745093141931447
3900,puma,2012,2.247865801118215,0.21555813111679983
4000,puma,2012,2.380709086511377,0.3328354468116189
4100,puma,2012,1.731373836981749,0.19252545263798018
4200,puma,2012,2.1920067549977755,0.18722858179263868
4300,puma,2012,2.486015009982391,0.3070516686686749
4400,puma,2012,2.0145995214601946,0.16463476701990193
4500,puma,2012,1.5282410835844658,0.15712042848075214
4600,puma,2012,1.9068329882278219,0.21462424711207295
4700,puma,2012,2.6769141747315484,0.2935040250273229
4800,puma,2012,2.3780829676762987,0.40432877461766614
4900,puma,2012,3.6436978464511984,0.4976363417548834
5001,puma,2012,2.0668161550539215,0.1727299630098879
5002,puma,2012,2.2847848203832513,0.23513722381337102
5003,puma,2012,1.4389355950654739,0.0979529438254113
5100,puma,2012,3.1492055937156,0.32311303636417127
5200,puma,2012,2.3716033623173667,0.21269702084316428
5300,puma,2012,2.622056608587476,0.4273916817327739
5400,puma,2012,2.0030203996957963,0.21442810686952815
1202,puma,2012,1.8106316142067067,0.16901256795360095
100,puma,2013,3.2956346777713277,0.344499012123562
